instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
1793,7,AARTIIND,AARTI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
2561,10,ABAN,ABAN OFFSHORE,0,,0,0.01,1,EQ,NSE,NSE
3329,13,ABB,ABB INDIA,0,,0,0.05,1,EQ,NSE,NSE
4865,19,STYRENIX,STYRENIX PERFORMANCE,0,,0,0.05,1,EQ,NSE,NSE
5633,22,ACC,ACC,0,,0,0.05,1,EQ,NSE,NSE
6401,25,ADANIENT,ADANI ENTERPRISES,0,,0,0.05,1,EQ,NSE,NSE
8705,34,ADORWELD,ADOR WELDING,0,,0,0.05,1,EQ,NSE,NSE
10241,40,AEGISLOG,AEGIS LOGISTICS,0,,0,0.05,1,EQ,NSE,NSE
12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,0,,0,0.05,1,EQ,NSE,NSE
20225,79,ALEMBICLTD,ALEMBIC,0,,0,0.01,1,EQ,NSE,NSE
25601,100,ARE&M,AMARA RAJA ENERGY MOB,0,,0,0.05,1,EQ,NSE,NSE
26625,104,SHAREINDIA,SHARE IND. SECURITIES,0,,0,0.05,1,EQ,NSE,NSE
32769,128,ROUTE,ROUTE MOBILE,0,,0,0.05,1,EQ,NSE,NSE
34817,136,ANDHRSUGAR,ANDHRA SUGARS,0,,0,0.01,1,EQ,NSE,NSE
36865,144,GODREJAGRO,GODREJ AGROVET,0,,0,0.05,1,EQ,NSE,NSE
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0,,0,0.05,1,EQ,NSE,NSE
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0,0.05,1,EQ,NSE,NSE
41729,163,APOLLOTYRE,APOLLO TYRES,0,,0,0.05,1,EQ,NSE,NSE
42497,166,ANDHRAPAP,ANDHRA PAPER,0,,0,0.01,1,EQ,NSE,NSE
47105,184,TCPLPACK,TCPL PACKAGING,0,,0,0.05,1,EQ,NSE,NSE
49409,193,ARVIND,ARVIND,0,,0,0.05,1,EQ,NSE,NSE
50945,199,MASFIN,MAS FINANCIAL SERV,0,,0,0.05,1,EQ,NSE,NSE
51457,201,UNIDT,UNITED DRILLING TOOLS,0,,0,0.05,1,EQ,NSE,NSE
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,0,,0,0.05,1,EQ,NSE,NSE
54273,212,ASHOKLEY,ASHOK LEYLAND,0,,0,0.01,1,EQ,NSE,NSE
56321,220,IEX,INDIAN ENERGY EXC,0,,0,0.01,1,EQ,NSE,NSE
60161,235,AAKASH,AAKASH EXPLORATION SER L,0,,0,0.01,1,EQ,NSE,NSE
60417,236,ASIANPAINT,ASIAN PAINTS,0,,0,0.05,1,EQ,NSE,NSE
62721,245,ADL,ARCHIDPLY DECOR,0,,0,0.01,1,EQ,NSE,NSE
67329,263,ATUL,ATUL,0,,0,0.05,1,EQ,NSE,NSE
69121,270,CHEMCON,CHEMCON SPECIAL CHEM,0,,0,0.01,1,EQ,NSE,NSE
70401,275,AUROPHARMA,AUROBINDO PHARMA,0,,0,0.05,1,EQ,NSE,NSE
70913,277,GICRE,GENERAL INS CORP OF INDIA,0,,0,0.05,1,EQ,NSE,NSE
71169,278,AUTOAXLES,AUTOMOTIVE AXLES,0,,0,0.05,1,EQ,NSE,NSE
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0,,0,0.05,1,EQ,NSE,NSE
78849,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,0,,0,0.01,1,EQ,NSE,NSE
79873,312,TIINDIA,TUBE INVEST OF INDIA,0,,0,0.05,1,EQ,NSE,NSE
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,NSE,NSE
82945,324,ANGELONE,ANGEL ONE,0,,0,0.05,1,EQ,NSE,NSE
84481,330,VALIANTORG,VALIANT ORGANICS,0,,0,0.05,1,EQ,NSE,NSE
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE
86529,338,BALMLAWRIE,BALMER LAWRIE & CO,0,,0,0.01,1,EQ,NSE,NSE
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,,0,0.05,1,EQ,NSE,NSE
87553,342,CAMS,COMPUTER AGE MNGT SER,0,,0,0.05,1,EQ,NSE,NSE
89601,350,BANARISUG,BANNARI AMMAN SUGARS,0,,0,0.05,1,EQ,NSE,NSE
91905,359,ROML,RAJ OIL MILLS,0,,0,0.01,1,EQ,NSE,NSE
94209,368,BASF,BASF INDIA,0,,0,0.05,1,EQ,NSE,NSE
94977,371,BATAINDIA,BATA INDIA,0,,0,0.05,1,EQ,NSE,NSE
97281,380,BBTC,BOMBAY BURMAH TRADING COR,0,,0,0.05,1,EQ,NSE,NSE
97537,381,SINTERCOM,SINTERCOM INDIA,0,,0,0.01,1,EQ,NSE,NSE
98049,383,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE
98561,385,MAHLOG,MAHINDRA LOGISTIC,0,,0,0.05,1,EQ,NSE,NSE
100609,393,GLOBE,GLOBE TEXTILES (I),0,,0,0.01,1,EQ,NSE,NSE
101121,395,BEML,BEML,0,,0,0.05,1,EQ,NSE,NSE
102145,399,NIACL,THE NEW INDIA ASSU CO,0,,0,0.01,1,EQ,NSE,NSE
103425,404,BERGEPAINT,BERGER PAINTS (I),0,,0,0.05,1,EQ,NSE,NSE
107265,419,BEPL,BHANSALI ENG. POLYMERS LT,0,,0,0.01,1,EQ,NSE,NSE
108033,422,BHARATFORG,BHARAT FORGE,0,,0,0.05,1,EQ,NSE,NSE
108801,425,KHADIM,KHADIM INDIA,0,,0,0.05,1,EQ,NSE,NSE
109057,426,BHARATGEAR,BHARAT GEARS,0,,0,0.01,1,EQ,NSE,NSE
111617,436,IFGLEXPOR,IFGL REFRACTORIES,0,,0,0.05,1,EQ,NSE,NSE
112129,438,BHEL,BHEL,0,,0,0.01,1,EQ,NSE,NSE
113921,445,5PAISA,5PAISA CAPITAL,0,,0,0.05,1,EQ,NSE,NSE
119553,467,HDFCLIFE,HDFC LIFE INS CO,0,,0,0.05,1,EQ,NSE,NSE
120577,471,OSWALGREEN,OSWAL GREENTECH,0,,0,0.01,1,EQ,NSE,NSE
